ACC_ID,LONGITUDE,LATITUDE,CRASH_DATE,CRASH_TIME,ACCIDENT_TYPE,SEVERITY,EVENT_NATURE,EVENT_TYPE,TOTAL_BIKE_INVOLVED,TOTAL_TRUCK_INVOLVED,TOTAL_HEAVY_TRUCK_INVOLVED,TOTAL_MOTOR_CYCLE_INVOLVED,TOTAL_OTHER_VEHICLES_INVOLVED,TOTAL_PEDESTRIANS_INVOLVED,REGION
10232359,121.460072,-30.758825,2020,1615.0,Intersection,PDO Major,Rear End,,0,0,0,0,2,1,Northern
10232904,115.71473700000001,-33.321952,2020,1835.0,Intersection,PDO Major,Hit Pedestrian,Involving Pedestrian,0,0,0,0,1,1,Southern
10233140,115.77257900000001,-31.734972999999997,2020,100.0,Midblock,Fatal,Hit Pedestrian,Involving Pedestrian,0,0,0,0,1,1,Metro
10226903,115.961555,-31.861525,2020,856.0,Midblock,Fatal,Hit Pedestrian,Involving Pedestrian,0,0,0,0,1,1,Metro
10227223,116.00739899999999,-32.075582,2020,630.0,Midblock,PDO Minor,Hit Pedestrian,Involving Pedestrian,0,0,0,0,1,1,Metro
10227526,115.7312,-32.520359,2020,928.0,Midblock,Hospital,Hit Pedestrian,Involving Pedestrian,0,0,0,0,1,1,Metro
10227772,115.928533,-31.888957,2020,1455.0,Intersection,PDO Minor,Hit Pedestrian,Involving Pedestrian,0,0,0,0,1,1,Metro
10227855,121.48171,-30.774563,2020,1805.0,Midblock,Hospital,Hit Pedestrian,Involving Pedestrian,0,0,0,0,1,1,Northern
10227861,115.858755,-31.870814000000003,2020,1231.0,Midblock,Hospital,Hit Pedestrian,Involving Pedestrian,0,0,0,0,1,1,Metro
10227880,116.057955,-31.889097999999997,2020,1736.0,Intersection,Hospital,Hit Pedestrian,Involving Pedestrian,0,0,0,0,1,1,Metro
10227982,115.86408999999999,-31.960539,2020,750.0,Intersection,Hospital,Hit Pedestrian,Involving Pedestrian,0,0,0,0,1,1,Metro
10228735,115.835454,-31.861382,2020,830.0,Intersection,PDO Minor,Sideswipe Same Dirn,,0,0,0,0,1,1,Metro
10228769,115.75660400000001,-32.539519,2020,915.0,Intersection,PDO Minor,Hit Pedestrian,Involving Pedestrian,0,0,0,0,1,1,Metro
10230228,115.69674599999999,-31.649691999999998,2020,2130.0,Intersection,Hospital,Hit Pedestrian,Involving Pedestrian,0,0,0,0,1,1,Metro
10325809,115.85281499999999,-31.947335,2017,220.0,Midblock,Hospital,Hit Pedestrian,Involving Pedestrian,0,0,0,0,1,1,Metro
10325846,115.690125,-31.554689,2017,1230.0,Intersection,Medical,Right Turn Thru,,0,0,0,0,1,1,Metro
10325912,115.97614399999999,-31.895736,2017,1200.0,Intersection,Hospital,Sideswipe Same Dirn,,0,0,0,0,2,1,Metro
10325934,115.96915700000001,-31.76623,2017,1747.0,Intersection,Hospital,Hit Object,,0,0,0,0,1,1,Metro
